"","from","to"
"1030","deducorrect","editrules"
"1031","deldir","R"
"1032","delftfews","XML"
"1033","delftfews","logging"
"1034","delftfews","zoo"
"1035","delt","denpro"
"1036","demography","forecast"
"1037","demography","rainbow"
"1038","demography","ftsa"
"1039","depmix","MASS"
"1040","depmixS4","nnet"
"1041","depmixS4","methods"
"1042","depmixS4","MASS"
"1043","depmixS4","Rsolnp"
"1044","depth","rgl"
"1045","depthTools","R"
"1046","desirability","lattice"
"1047","desire","loglognorm"
"1048","dfcrm","R"
"1049","dfoptim","R"
"1050","dglm","statmod"
"1051","diagram","shape"
"1052","dice","gtools"
"1053","difR","lme4"
"1054","difR","ltm"
"1055","diff","MASS"
"1056","diff","methods"
"1057","diffusionMap","scatterplot3d"
"1058","diffusionMap","igraph"
"1059","diffusionMap","Matrix"
"1060","digeR","gWidgets"
"1061","digeR","MASS"
"1062","digeR","pls"
"1063","digeR","e1071"
"1064","digeR","adabag"
"1065","digeR","randomForest"
"1066","digeR","ROCR"
"1067","digeR","caTools"
"1068","digeR","class"
"1069","digeR","ellipse"
"1070","digest","R"
"1071","digitize","ReadImages"
"1072","directlabels","proto"
"1073","diseasemapping","mgcv"
"1074","dismo","raster"
"1075","dismo","rJava"
"1076","dispmod","R"
"1077","distory","ape"
"1078","distory","R"
"1079","distr","startupmsg"
"1080","distr","sfsmisc"
"1081","distr","SweaveListingUtils"
"1082","distrDoc","startupmsg"
"1083","distrDoc","distr"
"1084","distrDoc","distrEx"
"1085","distrDoc","distrSim"
"1086","distrDoc","distrTEst"
"1087","distrDoc","distrTeach"
"1088","distrDoc","RandVar"
"1089","distrDoc","distrMod"
"1090","distrDoc","MASS"
"1091","distrDoc","methods"
"1092","distrEllipse","mvtnorm"
"1093","distrEllipse","setRNG"
"1094","distrEllipse","distr"
"1095","distrEllipse","distrEx"
"1096","distrEllipse","distrSim"
"1097","distrEllipse","startupmsg"
"1098","distrEx","distr"
"1099","distrEx","evd"
"1100","distrEx","actuar"
"1101","distrEx","startupmsg"
"1102","distrMod","startupmsg"
"1103","distrMod","distr"
"1104","distrMod","distrEx"
"1105","distrMod","RandVar"
"1106","distrMod","MASS"
"1107","distrMod","stats4"
"1108","distrSim","setRNG"
"1109","distrSim","distr"
"1110","distrSim","startupmsg"
"1111","distrTEst","setRNG"
"1112","distrTEst","distr"
"1113","distrTEst","distrSim"
"1114","distrTEst","startupmsg"
"1115","distrTeach","distr"
"1116","distrTeach","distrEx"
"1117","distrTeach","startupmsg"
"1118","distributions","stats"
"1119","distributions","utils"
"1120","distributions","tools"
"1121","divagis","rgdal"
"1122","divagis","sp"
"1123","diveMove","caTools"
"1124","diveMove","RColorBrewer"
"1125","diversitree","deSolve"
"1126","diversitree","ape"
"1127","diversitree","subplex"
"1128","divisors","R"
"1129","dixon","splancs"
"1130","dixon","spatstat"
"1131","dlmap","qtl"
"1132","dlmap","ibdreg"
"1133","dlmap","wgaim"
"1134","dlmap","nlme"
"1135","dlmap","mgcv"
"1136","dlmodeler","R"
"1137","dlnm","R"
"1138","dlnm","stats"
"1139","dlnm","graphics"
"1140","dlnm","splines"
"1141","dmt","mvtnorm"
"1142","dmt","methods"
"1143","dmt","Matrix"
"1144","dmt","MASS"
"1145","doBy","survival"
"1146","doBy","contrast"
"1147","doBy","R2HTML"
"1148","doMC","foreach"
"1149","doMC","iterators"
"1150","doMC","multicore"
"1151","doMC","utils"
"1152","doMPI","foreach"
"1153","doMPI","iterators"
"1154","doMPI","Rmpi"
"1155","doMPI","utils"
"1156","doRedis","rredis"
"1157","doRedis","foreach"
"1158","doRedis","iterators"
"1159","doRedis","utils"
"1160","doSMP","foreach"
"1161","doSMP","iterators"
"1162","doSMP","revoIPC"
"1163","doSMP","utils"
"1164","doSNOW","foreach"
"1165","doSNOW","iterators"
"1166","doSNOW","snow"
"1167","doSNOW","utils"
"1168","dpa","sem"
"1169","dpa","igraph"
"1170","dpmixsim","oro.nifti"
"1171","dpmixsim","cluster"
"1172","dr","MASS"
"1173","drc","alr3"
"1174","drc","gtools"
"1175","drc","lattice"
"1176","drc","magic"
"1177","drc","MASS"
"1178","drc","nlme"
"1179","drc","plotrix"
"1180","drc","methods"
"1181","drc","stats4"
"1182","drfit","MASS"
"1183","drfit","RODBC"
"1184","drm","R"
"1185","dse","tframe"
"1186","dse","setRNG"
"1187","dse1","dse"
"1188","dse2","EvalEst"
"1189","dti","adimpro"
"1190","dti","fmri"
"1191","dti","rgl"
"1192","dtw","methods"
"1193","dtw","proxy"
"1194","dummies","utils"
"1195","dvfBm","wmtsa"
"1196","dyad","R"
"1197","dyn","zoo"
"1198","dynCorr","lpridge"
"1199","dynGraph","FactoMineR"
"1200","dynGraph","rJava"
"1201","dynaTree","R"
"1202","dynamicGraph","ggm"
"1203","dynamicGraph","tcltk"
"1204","dynamicTreeCut","R"
"1205","dynamicTreeCut","stats"
"1206","dynamo","R"
"1207","dynlm","zoo"
"1208","dynlm","lmtest"
"1209","dynlm","car"
"1210","EDR","akima"
"1211","EMA","cluster"
"1212","EMA","Hmisc"
"1213","EMA","heatmap.plus"
"1214","EMA","FactoMineR"
"1215","EMA","survival"
"1216","EMA","multtest"
"1217","EMA","rgl"
"1218","EMA","GSA"
"1219","EMA","MASS"
"1220","EMA","xtable"
"1221","EMC","mvtnorm"
"1222","EMCC","MASS"
"1223","EMCC","mclust"
"1224","EMCC","EMC"
"1225","EMD","fields"
"1226","EMJumpDiffusion","R"
"1227","ENmisc","Hmisc"
"1228","EQL","ttutils"
"1229","ESPRESSO","MASS"
"1230","EVER","R"
"1231","Ecdat","R"
"1232","EffectiveDose","locfit"
"1233","ElemStatLearn","R"
"1234","ElemStatLearn","stats"
"1235","EnQuireR","FactoMineR"
"1236","EnQuireR","SensoMineR"
"1237","EnQuireR","Rcmdr"
"1238","EnQuireR","MASS"
"1239","EngrExpt","lattice"
"1240","Epi","utils"
"1241","EquiNorm","Matrix"
"1242","EquiNorm","lattice"
"1243","EuclideanMaps","tkrplot"
"1244","EuclideanMaps","RODBC"
"1245","EvalEst","setRNG"
"1246","EvalEst","tframe"
"1247","EvalEst","dse"
"1248","e1071","class"
"1249","eRm","RaschSampler"
"1250","eVenn","tcltk"
"1251","eVenn","combinat"
"1252","eaf","R"
"1253","earth","leaps"
"1254","earth","plotrix"
"1255","eba","R"
"1256","ebdbNet","R"
"1257","ecespa","splancs"
"1258","ecespa","spatstat"
"1259","ecespa","fields"
"1260","ecespa","akima"
"1261","eco","MASS"
"1262","ecodist","stats"
"1263","ecolMod","diagram"
"1264","ecolMod","rootSolve"
"1265","ecolMod","deSolve"
"1266","ecolMod","mapdata"
"1267","ecolMod","seacarb"
"1268","ecolMod","scatterplot3d"
"1269","ecolMod","deldir"
"1270","edrGraphicalTools","rgl"
"1271","edrGraphicalTools","mvtnorm"
"1272","edtdbg","R"
"1273","effects","lattice"
"1274","effects","grid"
"1275","effects","nlme"
"1276","effects","MASS"
"1277","effects","nnet"
"1278","effects","colorspace"
"1279","egarch","fGarch"
"1280","egonet","sna"
"1281","eha","survival"
"1282","eha","graphics"
"1283","eiPack","MASS"
"1284","eiPack","coda"
"1285","eiPack","msm"
"1286","el.convex","R"
"1287","elasticnet","lars"
"1288","ellipse","R"
"1289","ellipse","graphics"
"1290","ellipse","stats"
"1291","elliptic","calibrator"
"1292","elliptic","MASS"
"1293","elrm","coda"
"1294","elrm","graphics"
"1295","elrm","stats"
"1296","emdbook","MASS"
"1297","emdbook","lattice"
"1298","emg","R"
"1299","emg","stats"
"1300","emg","stats4"
"1301","emme2","R"
"1302","emme2","graphics"
"1303","emplik","quantreg"
"1304","emplik2","R"
"1305","emu","MASS"
"1306","emulator","mvtnorm"
"1307","endogMNP","R"
"1308","endogMNP","utils"
"1309","energy","boot"
"1310","energy","MASS"
"1311","ensembleBMA","chron"
"1312","entropy","R"
"1313","epiR","R"
"1314","epibasix","R"
"1315","epicalc","foreign"
"1316","epicalc","survival"
"1317","epicalc","MASS"
"1318","epicalc","nnet"
"1319","epitools","R"
"1320","eqtl","qtl"
"1321","equate","R"
"1322","equivalence","lattice"
"1323","equivalence","boot"
"1324","equivalence","grid"
"1325","erer","systemfit"
"1326","erer","lmtest"
"1327","erer","tseries"
"1328","erer","ggplot2"
"1329","ergm","network"
"1330","ergm.userterms","network"
"1331","ergm.userterms","ergm"
"1332","esd4all","clim.pact"
"1333","esd4all","cyclones"
"1334","esd4all","akima"
"1335","esd4all","ncdf"
"1336","esd4all","sgeostat"
"1337","esd4all","fields"
"1338","esd4all","spam"
"1339","esd4all","R"
"1340","etm","lattice"
"1341","etm","survival"
"1342","evd","stats"
"1343","evdbayes","R"
"1344","evir","stats"
"1345","exact2x2","stats"
"1346","exact2x2","exactci"
"1347","exactLoglinTest","R"
"1348","exactRankTests","survival"
"1349","exactci","stats"
"1350","exactmaxsel","combinat"
"1351","exams","R"
"1352","exams","stats"
"1353","exams","graphics"
"1354","exams","tools"
"1355","exams","utils"
"1356","expectreg","mboost"
"1357","expectreg","BayesX"
"1358","expectreg","splines"
"1359","expectreg","quadprog"
"1360","experiment","boot"
"1361","experiment","MASS"
"1362","experiment","R"
"1363","expert","R"
"1364","expert","stats"
"1365","expm","Matrix"
"1366","expsmooth","tseries"
"1367","expsmooth","forecast"
"1368","extRemes","ismev"
"1369","extRemes","Lmoments"
"1370","extfunnel","rmeta"
"1371","extracat","reshape2"
"1372","extracat","grid"
"1373","extracat","MASS"
"1374","extracat","colorspace"
"1375","extracat","plyr"
"1376","extremevalues","R"
"1377","ez","car"
"1378","ez","reshape2"
"1379","ez","plyr"
"1380","ez","ggplot2"
"1381","ez","stringr"
"1382","ez","lme4"
"1383","ez","Matrix"
"1384","FAMT","mnormt"
"1385","FAMT","impute"
"1386","FAiR","rgenoud"
"1387","FAiR","gWidgetsRGtk2"
"1388","FAiR","stats4"
"1389","FAiR","rrcov"
"1390","FAiR","Matrix"
"1391","FAwR","MASS"
"1392","FAwR","lattice"
"1393","FD","ade4"
"1394","FD","ape"
"1395","FD","geometry"
"1396","FD","vegan"
"1397","FEST","kinship"
"1398","FEST","MASS"
"1399","FEST","hapsim"
"1400","FGN","ltsa"
"1401","FITSio","R"
"1402","FKF","R"
"1403","FME","deSolve"
"1404","FME","rootSolve"
"1405","FME","minpack.lm"
"1406","FME","MASS"
"1407","FME","coda"
"1408","FNN","R"
"1409","FRB","corpcor"
"1410","FSelector","randomForest"
"1411","FSelector","RWeka"
"1412","FSelector","digest"
"1413","FTICRMS","Matrix"
"1414","FTICRMS","lattice"
"1415","FTICRMS","splines"
"1416","FactoClass","ade4"
"1417","FactoClass","xtable"
"1418","FactoMineR","ellipse"
"1419","FactoMineR","lattice"
"1420","FactoMineR","cluster"
"1421","FactoMineR","scatterplot3d"
"1422","Fahrmeir","stats"
"1423","Fahrmeir","R"
"1424","FeaLect","lars"
"1425","FeaLect","Design"
"1426","FieldSim","rgl"
"1427","FieldSim","RColorBrewer"
"1428","FinTS","zoo"
"1429","FinTS","graphics"
"1430","FitAR","lattice"
"1431","FitAR","leaps"
"1432","FitAR","ltsa"
"1433","FitAR","bestglm"
"1434","FitARMA","FitAR"
"1435","Formula","R"
"1436","Formula","stats"
"1437","FourierDescriptors","ggplot2"
"1438","FrF2","BsMD"
"1439","FrF2","scatterplot3d"
"1440","FrF2","igraph"
"1441","FrF2","sfsmisc"
"1442","FrF2","DoE.base"
"1443","FrF2.catlg128","FrF2"
"1444","FunCluster","Hmisc"
"1445","FunCluster","cluster"
"1446","FunNet","ade4"
"1447","FunNet","cluster"
"1448","FunNet","Hmisc"
"1449","FunNet","nlme"
"1450","FunNet","sna"
"1451","FunNet","Cairo"
"1452","FuncMap","grid"
"1453","FuncMap","mvbutils"
"1454","FunctSNP","DBI"
"1455","FunctSNP","RSQLite"
"1456","FunctSNP","utils"
"1457","fArma","timeDate"
"1458","fArma","timeSeries"
"1459","fArma","fBasics"
"1460","fAsianOptions","timeDate"
"1461","fAsianOptions","timeSeries"
"1462","fAsianOptions","fBasics"
"1463","fAsianOptions","fOptions"
"1464","fAssets","sn"
"1465","fAssets","MASS"
"1466","fAssets","robustbase"
"1467","fAssets","timeDate"
"1468","fAssets","timeSeries"
"1469","fAssets","fBasics"
"1470","fAssets","fCopulae"
"1471","fBasics","MASS"
"1472","fBasics","methods"
"1473","fBasics","timeDate"
"1474","fBasics","timeSeries"
"1475","fBonds","timeDate"
"1476","fBonds","timeSeries"
"1477","fBonds","fBasics"
"1478","fCalendar","MASS"
"1479","fCalendar","fUtilities"
"1480","fCalendar","fEcofin"
"1481","fCertificates","fBasics"
"1482","fCertificates","fOptions"
"1483","fCertificates","fExoticOptions"
"1484","fCopulae","sn"
"1485","fCopulae","methods"
"1486","fCopulae","timeDate"
"1487","fCopulae","timeSeries"
"1488","fCopulae","fBasics"
"1489","fEcofin","R"
"1490","fEcofin","utils"
"1491","fExoticOptions","timeDate"
"1492","fExoticOptions","timeSeries"
"1493","fExoticOptions","fBasics"
"1494","fExoticOptions","fOptions"
"1495","fExtremes","timeDate"
"1496","fExtremes","timeSeries"
"1497","fExtremes","fBasics"
"1498","fExtremes","fGarch"
"1499","fExtremes","fTrading"
"1500","fGarch","timeDate"
"1501","fGarch","timeSeries"
"1502","fGarch","fBasics"
"1503","fImport","timeDate"
"1504","fImport","timeSeries"
"1505","fMultivar","sn"
"1506","fMultivar","timeDate"
"1507","fMultivar","timeSeries"
"1508","fMultivar","fBasics"
"1509","fNonlinear","timeDate"
"1510","fNonlinear","timeSeries"
"1511","fNonlinear","fBasics"
"1512","fNonlinear","fGarch"
"1513","fOptions","timeDate"
"1514","fOptions","timeSeries"
"1515","fOptions","fBasics"
"1516","fPortfolio","MASS"
"1517","fPortfolio","robustbase"
"1518","fPortfolio","timeDate"
"1519","fPortfolio","timeSeries"
"1520","fPortfolio","fBasics"
"1521","fPortfolio","fAssets"
"1522","fRegression","mgcv"
"1523","fRegression","nnet"
"1524","fRegression","polspline"
"1525","fRegression","timeDate"
"1526","fRegression","timeSeries"
"1527","fRegression","fBasics"
"1528","fRegression","fTrading"
"1529","fRegression","fMultivar"
"1530","fSeries","robustbase"
"1531","fSeries","methods"
"1532","fSeries","fUtilities"
"1533","fSeries","fEcofin"
"1534","fSeries","fCalendar"
"1535","fTrading","timeDate"
"1536","fTrading","timeSeries"
"1537","fTrading","fBasics"
"1538","fUnitRoots","urca"
"1539","fUnitRoots","methods"
"1540","fUnitRoots","timeDate"
"1541","fUnitRoots","timeSeries"
"1542","fUnitRoots","fBasics"
"1543","fUtilities","MASS"
"1544","factorQR","lattice"
"1545","factualR","methods"
"1546","factualR","RJSONIO"
"1547","factualR","RCurl"
"1548","fame","tis"
"1549","far","nlme"
"1550","faraway","R"
"1551","farmR","rJava"
"1552","farmR","methods"
"1553","fastICA","R"
"1554","fastR","lattice"
"1555","fastR","grid"
"1556","favir","ChainLadder"
"1557","favir","ggplot2"
"1558","favir","plyr"
"1559","favir","reshape"
"1560","favir","tools"
"1561","fbati","pbatR"
"1562","fbati","fgui"
"1563","fbati","rootSolve"
"1564","fbati","tcltk"
"1565","fda","zoo"
"1566","fda.usc","fda"
"1567","fda.usc","splines"
"1568","fda.usc","MASS"
"1569","fda.usc","e1071"
"1570","fdim","xgobi"
"1571","fdrtool","R"
"1572","fds","rainbow"
"1573","fds","RCurl"
"1574","fdth","R"
"1575","fdth","base"
"1576","fdth","grDevices"
"1577","fdth","graphics"
"1578","feature","KernSmooth"
"1579","feature","ks"
"1580","feature","tcltk"
"1581","fechner","R"
"1582","fechner","base"
"1583","fechner","graphics"
"1584","fechner","stats"
"1585","ff","bit"
"1586","fftw","R"
"1587","fgui","tools"
"1588","fields","methods"
"1589","fields","spam"
"1590","filehash","R"
"1591","filehash","methods"
"1592","filehashSQLite","filehash"
"1593","filehashSQLite","DBI"
"1594","filehashSQLite","RSQLite"
"1595","financial","R"
"1596","fingerprint","methods"
"1597","fisheyeR","tkrplot"
"1598","fisheyeR","methods"
"1599","fishmethods","boot"
"1600","fishmethods","stats"
"1601","fishmethods","foreign"
"1602","fit4NM","gWidgets"
"1603","fit4NM","tcltk"
"1604","fit4NM","tkrplot"
"1605","fit4NM","RGtk2"
"1606","fit4NM","gWidgetsRGtk2"
"1607","fit4NM","cairoDevice"
"1608","fitdistrplus","R"
"1609","flashClust","R"
"1610","flexCrossHaz","survival"
"1611","flexCrossHaz","splines"
"1612","flexclust","graphics"
"1613","flexclust","grid"
"1614","flexclust","lattice"
"1615","flexclust","modeltools"
"1616","flexmix","lattice"
"1617","flexmix","modeltools"
"1618","flexmix","multcomp"
"1619","flsa","R"
"1620","flubase","forecast"
"1621","flubase","FinTS"
"1622","fma","tseries"
"1623","fma","forecast"
"1624","fmri","tcltk"
"1625","fmsb","R"
"1626","foba","R"
"1627","foreach","iterators"
"1628","foreach","codetools"
"1629","foreach","utils"
"1630","forecast","tseries"
"1631","forecast","fracdiff"
"1632","foreign","R"
"1633","foreign","stats"
"1634","forensic","genetics"
"1635","forensic","combinat"
"1636","forensim","methods"
"1637","formula.tools","operator.tools"
"1638","formula.tools","utils"
"1639","formula.tools","methods"
"1640","fortunes","R"
"1641","forward","MASS"
"1642","fossil","sp"
"1643","fossil","maps"
"1644","fossil","shapefiles"
"1645","fpc","MASS"
"1646","fpc","cluster"
"1647","fpc","mclust"
"1648","fpc","flexmix"
"1649","fpca","sm"
"1650","fpca","splines"
"1651","fpow","R"
"1652","fractal","splus2R"
"1653","fractal","ifultools"
"1654","fractal","sapa"
"1655","fractal","wmtsa"
"1656","fractal","akima"
"1657","fractal","MASS"
"1658","fractal","scatterplot3d"
"1659","fractaldim","abind"
"1660","fractalrock","futile.any"
"1661","fractalrock","futile.logger"
"1662","fractalrock","timeDate"
"1663","fractalrock","zoo"
"1664","fractalrock","xts"
"1665","fractalrock","quantmod"
"1666","frailtyHL","Matrix"
"1667","frailtyHL","numDeriv"
"1668","frailtypack","survival"
"1669","frbf","methods"
"1670","frontier","plm"
"1671","frontier","micEcon"
"1672","frontier","miscTools"
"1673","frontier","Formula"
"1674","frontier","lmtest"
"1675","fts","utils"
"1676","fts","stats"
"1677","ftsa","forecast"
"1678","ftsa","rainbow"
"1679","futile","futile.options"
"1680","futile","futile.logger"
"1681","futile","futile.matrix"
"1682","futile","futile.any"
"1683","futile.any","futile.paradigm"
"1684","futile.logger","futile.paradigm"
"1685","futile.logger","futile.options"
"1686","futile.matrix","futile.logger"
"1687","futile.matrix","futile.any"
"1688","futile.options","R"
"1689","futile.paradigm","futile.options"
"1690","fuzzyRankTests","R"
"1691","fwdmsa","R"
"1692","fxregime","zoo"
"1693","fxregime","sandwich"
"1694","fxregime","strucchange"
"1695","G1DBN","MASS"
"1696","G1DBN","sna"
"1697","GAD","matrixStats"
"1698","GAD","R.methodsS3"
"1699","GAMBoost","Matrix"
"1700","GAMens","akima"
"1701","GAMens","gam"
"1702","GDD","R"
"1703","GEOmap","geomapdata"
"1704","GEOmap","RPMG"
"1705","GEOmap","akima"
"1706","GEOmap","splancs"
"1707","GEVcdn","VGAM"
"1708","GExMap","multtest"
"1709","GGMselect","mvtnorm"
"1710","GGMselect","lars"
"1711","GGMselect","gtools"
"1712","GGally","ggplot2"
"1713","GGally","stringr"
"1714","GLDEX","cluster"
"1715","GOFSN","sn"
"1716","GOSim","cluster"
"1717","GOSim","flexmix"
"1718","GOSim","RBGL"
"1719","GOSim","graph"
"1720","GOSim","Matrix"
"1721","GOSim","corpcor"
"1722","GPArotation","R"
"1723","GPseq","R"
"1724","GRRGI","nlme"
"1725","GRRGI","lme4"
"1726","GRRGI","arm"
"1727","GRRGI","car"
"1728","GSM","gtools"
"1729","GSM","methods"
"1730","GSM","utils"
"1731","GWAF","gee"
"1732","GWAF","kinship"
"1733","GWRM","R"
"1734","GenABEL","MASS"
"1735","GenKern","KernSmooth"
"1736","GenKern","utils"
"1737","GeneCycle","MASS"
"1738","GeneCycle","longitudinal"
"1739","GeneCycle","fdrtool"
"1740","GeneNet","corpcor"
"1741","GeneNet","longitudinal"
"1742","GeneNet","fdrtool"
"1743","GeneReg","splines"
"1744","GeneReg","igraph"
"1745","Geneclust","deldir"
"1746","Geneclust","fields"
"1747","Geneclust","spatial"
"1748","Geneland","RandomFields"
"1749","Geneland","fields"
"1750","Geneland","mapproj"
"1751","Geneland","maps"
"1752","Geneland","snow"
"1753","Geneland","tcltk"
"1754","GeneralizedHyperbolic","DistributionUtils"
"1755","GeoXp","fields"
"1756","GeoXp","KernSmooth"
"1757","GeoXp","mvoutlier"
"1758","GeoXp","rgl"
"1759","GeoXp","robustbase"
"1760","GeoXp","spdep"
"1761","GeoXp","splancs"
"1762","GeoXp","stats"
"1763","GeoXp","tcltk"
"1764","GillespieSSA","R"
"1765","GrapheR","mgcv"
"1766","GrassmannOptim","Matrix"
"1767","GridR","codetools"
"1768","GriegSmith","spatstat"
"1769","Guerry","sp"
"1770","Guerry","shapefiles"
"1771","gMCP","rJava"
"1772","gMCP","methods"
"1773","gMCP","MASS"
"1774","gMCP","PolynomF"
"1775","gMCP","multcomp"
"1776","gMCP","graph"
"1777","gMCP","gtools"
"1778","gRain","gRbase"
"1779","gRain","graph"
"1780","gRain","RBGL"
"1781","gRapHD","R"
"1782","gRapHD","methods"
"1783","gRbase","MASS"
"1784","gRbase","graph"
"1785","gRbase","RBGL"
"1786","gRbase","igraph"
"1787","gRc","gRbase"
"1788","gRc","graph"
"1789","gWidgets","methods"
"1790","gWidgets","utils"
"1791","gWidgetsRGtk2","methods"
"1792","gWidgetsRGtk2","gWidgets"
"1793","gWidgetsWWW","proto"
"1794","gWidgetsWWW","filehash"
"1795","gWidgetsWWW","digest"
"1796","gWidgetsWWW","rjson"
"1797","gWidgetstcltk","gWidgets"
"1798","gWidgetstcltk","tcltk"
"1799","gWidgetstcltk","tcltk2"
"1800","gWidgetstcltk","digest"
"1801","gafit","R"
"1802","galts","genalg"
"1803","galts","DEoptim"
"1804","gam","stats"
"1805","gam","splines"
"1806","gamair","R"
"1807","games","Formula"
"1808","games","maxLik"
"1809","games","MASS"
"1810","gamesNws","nws"
"1811","gamlss","gamlss.dist"
"1812","gamlss","gamlss.data"
"1813","gamlss","nlme"
"1814","gamlss.add","gamlss"
"1815","gamlss.add","mgcv"
"1816","gamlss.add","nnet"
"1817","gamlss.add","gamlss.util"
"1818","gamlss.add","gamlss.nl"
"1819","gamlss.add","lattice"
"1820","gamlss.cens","gamlss"
"1821","gamlss.cens","gamlss.dist"
"1822","gamlss.cens","survival"
"1823","gamlss.data","R"
"1824","gamlss.demo","rpanel"
"1825","gamlss.demo","gamlss"
"1826","gamlss.demo","gamlss.tr"
"1827","gamlss.demo","gamlss.util"
"1828","gamlss.dist","MASS"
"1829","gamlss.mx","gamlss"
"1830","gamlss.mx","nnet"
"1831","gamlss.mx","MASS"
"1832","gamlss.nl","gamlss"
"1833","gamlss.nl","survival"
"1834","gamlss.tr","gamlss"
"1835","gamlss.util","gamlss"
"1836","gamlss.util","colorspace"
"1837","gamlss.util","Matrix"
"1838","gamlss.util","MASS"
"1839","gamm4","Matrix"
"1840","gamm4","lme4"
"1841","gamm4","mgcv"
"1842","gap","R"
"1843","gaussDiff","R"
"1844","gausspred","R"
"1845","gaussquad","polynom"
"1846","gaussquad","orthopolynom"
"1847","gbev","mvtnorm"
"1848","gbm","survival"
"1849","gbm","lattice"
"1850","gbm","splines"
"1851","gbs","nlme"
"1852","gcExplorer","graphics"
"1853","gcExplorer","methods"
"1854","gcExplorer","flexclust"
"1855","gcbd","RSQLite"
"1856","gcbd","plyr"
"1857","gcbd","reshape"
"1858","gcbd","lattice"
"1859","gclus","cluster"
"1860","gcmrec","survrec"
"1861","gcolor","R"
"1862","gdata","R"
"1863","gdistance","raster"
"1864","gdistance","igraph"
"1865","gdistance","Matrix"
"1866","gdistance","methods"
"1867","gdistance","sp"
"1868","gee","stats"
"1869","geepack","doBy"
"1870","geiger","ape"
"1871","geiger","MASS"
"1872","geiger","mvtnorm"
"1873","geiger","msm"
"1874","geiger","ouch"
"1875","gene2pathway","kernlab"
"1876","gene2pathway","RBGL"
"1877","geneARMA","mvtnorm"
"1878","genefu","survcomp"
"1879","genefu","amap"
"1880","genefu","mclust"
"1881","genefu","gplots"
"1882","genefu","R"
"1883","genepi","R"
"1884","genepi","stats"
"1885","genetics","combinat"
"1886","genetics","gdata"
"1887","genetics","gtools"
"1888","genetics","MASS"
"1889","genetics","mvtnorm"
"1890","genoPlotR","ade4"
"1891","genomatic","R"
"1892","genomatic","tcltk"
"1893","geoR","sp"
"1894","geoRglm","geoR"
"1895","geoRglm","stats"
"1896","geofd","fda"
"1897","geofd","geoR"
"1898","geofd","tkrplot"
"1899","geomapdata","R"
"1900","geometry","R"
"1901","geonames","rjson"
"1902","geophys","RPMG"
"1903","geophys","RFOC"
"1904","geophys","MASS"
"1905","geophys","cluster"
"1906","geophys","stats"
"1907","geosphere","methods"
"1908","geozoo","bitops"
"1909","geozoo","tourr"
"1910","ggcolpairs","ggplot2"
"1911","ggm","R"
"1912","ggplot2","reshape"
"1913","ggplot2","grid"
"1914","ggplot2","proto"
"1915","ghyp","numDeriv"
"1916","ghyp","graphics"
"1917","ghyp","stats"
"1918","ghyp","gplots"
"1919","giRaph","R"
"1920","giRaph","graphics"
"1921","giRaph","methods"
"1922","gibbs.met","R"
"1923","gllm","R"
"1924","glmdm","MASS"
"1925","glmdm","msm"
"1926","glmdm","mvtnorm"
"1927","glmdm","e1071"
"1928","glmdm","coda"
"1929","glmdm","MCMCpack"
"1930","glmdm","class"
"1931","glmdm","lattice"
"1932","glmdm","LearnBayes"
"1933","glmmAK","smoothSurv"
"1934","glmmAK","coda"
"1935","glmmAK","mvtnorm"
"1936","glmmBUGS","MASS"
"1937","glmmBUGS","abind"
"1938","glmmBUGS","spdep"
"1939","glmnet","Matrix"
"1940","glmnetcr","glmnet"
"1941","glmpath","survival"
"1942","glmpath","R"
"1943","glmpathcr","glmpath"
"1944","glmulti","rJava"
"1945","glmulti","methods"
"1946","globalboosttest","mboost"
"1947","globalboosttest","survival"
"1948","glrt","survival"
"1949","glrt","splines"
"1950","glrt","Icens"
"1951","gmaps","maps"
"1952","gmaps","grid"
"1953","gmm","sandwich"
"1954","gmodels","R"
"1955","gmp","R"
"1956","gmvalid","CoCo"
"1957","gmvalid","epitools"
"1958","gnm","R"
"1959","gnumeric","XML"
"1960","goalprog","lpSolve"
"1961","gof","survival"
"1962","gogarch","fGarch"
"1963","gogarch","fastICA"
"1964","gooJSON","rjson"
"1965","googleVis","RJSONIO"
"1966","googleVis","methods"
"1967","gpclib","R"
"1968","gpclib","methods"
"1969","gplots","gtools"
"1970","gplots","gdata"
"1971","gplots","stats"
"1972","gplots","caTools"
"1973","gplots","grid"
"1974","gptk","fields"
"1975","gputools","R"
"1976","grImport","XML"
"1977","grade","R"
"1978","granova","car"
"1979","graph","R"
"1980","graph","methods"
"1981","graphicsQC","XML"
"1982","gregmisc","gdata"
"1983","gregmisc","gmodels"
"1984","gregmisc","gplots"
"1985","gregmisc","gtools"
"1986","gridBase","R"
"1987","gridBase","graphics"
"1988","gridBase","grid"
"1989","gridExtra","R"
"1990","gridExtra","grid"
"1991","grouped","MASS"
"1992","grplasso","methods"
"1993","grt","MASS"
"1994","grt","rgl"
"1995","grt","misc3d"
"1996","gsDesign","ggplot2"
"1997","gsDesign","xtable"
"1998","gsarima","R"
"1999","gsc","ofp"
"2000","gsc","quadprog"
"2001","gsl","R"
"2002","gss","R"
"2003","gstat","sp"
"2004","gsubfn","proto"
"2005","gumbel","R"
"2006","gvlma","R"
"2007","HDMD","psych"
"2008","HDMD","MASS"
"2009","HDMD","base"
